,season_end,player,age
0,1978,Tate Armstrong,22
1,1978,Greg Ballard,23
2,1978,Kent Benson,23
3,1978,Otis Birdsong,22
4,1978,Phil Bond,23
5,1978,Jim Bostic,25
6,1978,Alonzo Bradley,24
7,1978,Mike Bratz,22
8,1978,Wayman Britt,25
9,1978,Kenny Carr,22
10,1978,Bob Carrington,24
11,1978,Wesley Cox,23
12,1978,Charlie Criss,29
13,1978,Mark Crow,23
14,1978,Brad Davis,22
15,1978,Walter Davis,23
16,1978,Jacky Dorsey,23
17,1978,T.R. Dunn,22
18,1978,James Edwards,22
19,1978,Bo Ellis,23
20,1978,Al Fleming,23
21,1978,Bayard Forrest,23
22,1978,Mike Glenn,22
23,1978,Glen Gondrezick,22
24,1978,Rickey Green,23
25,1978,Greg Griffin,25
26,1978,Ernie Grunfeld,22
27,1978,Joe Hassett,22
28,1978,Eddie Lee Johnson,22
29,1978,Larry Johnson,23
30,1978,Marques Johnson,21
31,1978,Eddie Jordan,23
32,1978,Bernard King,21
33,1978,Toby Knight,22
34,1978,John Kuester,22
35,1978,Tom LaGarde,22
36,1978,Mark Landsberger,22
37,1978,Rich Laurel,23
38,1978,Ricky Marsh,23
39,1978,Cedric Maxwell,22
40,1978,Larry Moffett,23
41,1978,Glenn Mosley,22
42,1978,Norm Nixon,22
43,1978,Eddie Owens,24
44,1978,Ben Poquette,22
45,1978,Robert Reid,22
46,1978,Anthony Roberts,22
47,1978,Tony Robertson,22
48,1978,Tree Rollins,22
49,1978,Alvin Scott,22
50,1978,Steve Sheppard,23
51,1978,Jack Sikma,22
52,1978,Scott Sims,22
53,1978,Robert Smith,22
54,1978,Phil Walker,21
55,1978,Wilson Washington,22
56,1978,Ray Williams,23
57,1979,Kim Anderson,23
58,1979,Del Beshore,22
59,1979,Dennis Boyd,24
60,1979,Winford Boynes,21
61,1979,Ron Brewer,23
62,1979,Greg Bunch,22
63,1979,Marty Byrnes,22
64,1979,Ron Carter,22
65,1979,Maurice Cheeks,22
66,1979,Michael Cooper,22
67,1979,Wayne Cooper,22
68,1979,Dave Corzine,22
69,1979,Geoff Crompton,23
70,1979,Harry Davis,23
71,1979,Bob Elliott,23
72,1979,Ray Epps,22
73,1979,Phil Ford,22
74,1979,Jack Givens,22
75,1979,Tommie Green,22
76,1979,Lars Hansen,24
77,1979,James Hardy,22
78,1979,Keith Herron,22
79,1979,Kenny Higgs,24
80,1979,Essie Hollis,23
81,1979,Otis Howard,22
82,1979,Clemon Johnson,22
83,1979,George Johnson,22
84,1979,Jeff Judkins,22
85,1979,Joel Kramer,23
86,1979,Butch Lee,22
87,1979,John Long,22
88,1979,Billy McKinney,23
89,1979,Mike Mitchell,23
90,1979,John Olive,23
91,1979,Roger Phegley,22
92,1979,Stan Pietkiewicz,22
93,1979,Wayne Radford,22
94,1979,Marlon Redmond,23
95,1979,Micheal Ray Richardson,23
96,1979,Rick Robey,23
97,1979,Jackie Robinson,23
98,1979,John Rudd,23
99,1979,Frankie Sanders,22
100,1979,Purvis Short,21
101,1979,Sam Smith,24
102,1979,Reggie Theus,21
103,1979,Mychal Thompson,24
104,1979,Raymond Townsend,23
105,1979,Terry Tyler,22
106,1979,Andre Wakefield,24
107,1979,Jerome Whitehead,22
108,1979,Freeman Williams,22
109,1979,Rick Wilson,22
110,1980,James Bailey,22
111,1980,Billy Ray Bates,23
112,1980,Larry Bird,23
113,1980,Lawrence Boston,23
114,1980,Dudley Bradley,22
115,1980,Bill Cartwright,22
116,1980,Jeff Cook,23
117,1980,Hollis Copeland,24
118,1980,John Coughran,28
119,1980,Terry Crosby,23
120,1980,Pat Cummings,23
121,1980,Paul Dawkins,22
122,1980,Greg Deane,22
123,1980,Larry Demic,22
124,1980,Terry Duerod,23
125,1980,Earl Evans,24
126,1980,Mike Evans,24
127,1980,Gary Garland,22
128,1980,Dave Greenwood,22
129,1980,Roy Hamilton,22
130,1980,Gerald Henderson,24
131,1980,Johnny High,22
132,1980,Brad Holland,23
133,1980,Phil Hubbard,23
134,1980,Geoff Huston,22
135,1980,Abdul Jeelani,25
136,1980,Cheese Johnson,22
137,1980,Magic Johnson,20
138,1980,Vinnie Johnson,23
139,1980,Major Jones,26
140,1980,Greg Kelser,22
141,1980,Irv Kiffin,28
142,1980,Carl Kilpatrick,23
143,1980,Reggie King,22
144,1980,Arvid Kramer,23
145,1980,Allen Leavell,22
146,1980,Ollie Mack,22
147,1980,Steve Malovic,23
148,1980,Paul Mokeski,23
149,1980,Sidney Moncrief,22
