season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean,PER_cond,WS_cond,PER_bin,WS_bin
1978,7,Tate Armstrong,SG,22,CHI,66,0,10.8,2.0,4.2,0.468,0.0,0.0,0.0,2.0,4.2,0.468,0.468,0.3,0.4,0.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3,716,11.1,0.487,0.0,0.096,3.7,6.7,5.2,15.7,1.5,0.0,16.6,19.7,0.1,0.3,0.4,-2.2,-2.7,-4.9,-0.5,0,0.027,8.8,0.15,False,False,0,0
1978,11,Greg Ballard,SF,23,WSB,76,0,12.3,1.9,4.4,0.425,0.0,0.0,0.0,1.9,4.4,0.425,0.425,1.2,1.5,0.772,1.3,2.2,3.5,0.8,0.4,0.2,0.8,1.2,4.9,936,14.1,0.484,0.0,0.341,10.7,17.5,14.1,8.8,1.4,0.7,14.3,18.0,1.0,1.1,2.0,-0.9,-0.2,-1.1,0.2,0,0.104,14.5545454545,4.9,False,False,0,0
1978,19,Kent Benson,C,23,MIL,69,0,18.7,3.2,6.9,0.465,0.0,0.0,0.0,3.2,6.9,0.465,0.465,1.3,2.0,0.652,1.3,3.0,4.3,1.4,1.0,0.8,1.7,2.6,7.7,1288,13.2,0.497,0.0,0.298,7.2,17.2,12.1,9.8,2.4,2.2,18.2,19.3,0.2,1.5,1.7,-1.9,0.9,-1.0,0.3,0,0.064,13.6545454545,3.05454545455,False,False,0,0
1978,23,Otis Birdsong,SG,22,KCK,73,0,25.7,6.4,13.1,0.492,0.0,0.0,0.0,6.4,13.1,0.492,0.492,3.0,4.2,0.697,1.0,1.4,2.4,2.4,1.0,0.2,2.0,2.5,15.8,1878,17.1,0.53,0.0,0.325,3.8,5.7,4.8,14.1,1.7,0.3,11.7,25.1,3.3,0.9,4.2,1.5,-2.5,-0.9,0.5,0,0.108,14.675,4.025,False,False,0,0
1978,25,Phil Bond,SG,23,HOU,7,0,3.0,0.3,0.9,0.333,0.0,0.0,0.0,0.3,0.9,0.333,0.333,0.0,0.0,0.0,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.1,0.6,21,5.3,0.333,0.0,0.0,4.9,15.6,10.1,11.9,2.3,0.0,25.0,15.2,-0.1,0.0,0.0,-6.4,0.0,-6.4,0.0,0,-0.092,5.3,0.0,False,False,0,0
1978,27,Jim Bostic,PF,25,DET,4,0,12.0,3.0,5.5,0.545,0.0,0.0,0.0,3.0,5.5,0.545,0.545,0.5,1.3,0.4,2.0,2.0,4.0,0.8,0.0,0.0,0.8,1.3,6.5,48,18.9,0.537,0.0,0.227,17.8,17.2,17.5,9.7,0.0,0.0,11.0,21.7,0.1,0.0,0.1,2.2,-3.7,-1.6,0.0,0,0.144,18.9,0.1,False,False,0,0
1978,30,Alonzo Bradley,SF,24,HOU,43,0,18.6,3.0,7.1,0.428,0.0,0.0,0.0,3.0,7.1,0.428,0.428,1.0,1.4,0.729,0.6,1.7,2.3,1.3,0.4,0.1,1.3,1.9,7.0,798,9.0,0.459,0.0,0.194,3.1,10.3,6.6,9.3,0.9,0.4,14.3,19.2,-0.1,0.0,-0.1,-2.8,-2.1,-4.9,-0.6,0,-0.005,7.46666666667,-0.0666666666667,False,False,0,0
1978,31,Mike Bratz,PG,22,PHO,80,0,11.7,2.0,4.9,0.403,0.0,0.0,0.0,2.0,4.9,0.403,0.403,0.7,0.9,0.824,0.5,0.9,1.4,1.5,0.5,0.1,1.1,1.3,4.7,933,9.5,0.44,0.0,0.172,4.6,8.2,6.3,17.1,1.8,0.3,17.3,20.5,-0.6,1.0,0.4,-3.5,-1.1,-4.7,-0.6,0,0.022,11.0,1.23333333333,False,False,0,0
1978,35,Wayman Britt,SG,25,DET,7,0,2.3,0.4,1.4,0.3,0.0,0.0,0.0,0.4,1.4,0.3,0.3,0.4,0.6,0.75,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.4,1.3,16,13.5,0.383,0.0,0.4,6.7,19.4,13.1,17.7,2.8,0.0,7.8,30.5,0.0,0.0,0.0,-2.8,-1.9,-4.7,0.0,0,0.046,13.5,0.0,False,False,0,0
1978,47,Kenny Carr,PF,22,LAL,52,0,14.1,2.6,5.8,0.444,0.0,0.0,0.0,2.6,5.8,0.444,0.444,1.1,1.6,0.647,1.0,3.0,4.0,0.5,0.3,0.3,1.7,2.4,6.2,733,9.2,0.476,0.0,0.281,7.7,20.9,14.5,4.7,1.1,1.0,20.8,22.8,-0.9,0.9,0.0,-5.2,-1.9,-7.0,-0.9,0,-0.001,13.99,3.35,False,False,0,0
