season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1979,7,Tate Armstrong,SG,23,CHI,26,0,10.0,1.1,2.7,0.4,0.0,0.0,0.0,1.1,2.7,0.4,0.4,0.4,0.5,0.769,0.3,0.5,0.8,1.2,0.4,0.0,0.8,0.8,2.5,259,6.5,0.436,0.0,0.186,3.0,5.5,4.2,15.5,1.8,0.0,21.7,14.9,-0.2,0.2,-0.1,-4.8,-1.5,-6.3,-0.3,1,-0.012,8.8,0.15
1979,10,Greg Ballard,SF,24,WSB,82,0,18.9,3.2,6.8,0.465,0.0,0.0,0.0,3.2,6.8,0.465,0.465,1.5,2.1,0.692,1.7,3.7,5.5,1.4,0.7,0.4,1.2,2.0,7.8,1552,14.9,0.503,0.0,0.308,9.5,19.8,14.7,9.4,1.7,1.0,13.3,18.0,1.7,2.2,3.9,-0.3,1.1,0.7,1.1,1,0.12,14.5545454545,4.9
1979,18,Kent Benson,C,24,MIL,82,0,26.0,5.0,9.7,0.518,0.0,0.0,0.0,5.0,9.7,0.518,0.518,2.2,3.0,0.735,2.3,4.8,7.1,2.5,1.1,1.0,1.9,3.4,12.3,2132,17.3,0.555,0.0,0.307,9.7,20.6,15.1,12.1,1.9,2.0,14.7,19.3,3.5,2.9,6.4,1.2,1.6,2.8,2.6,1,0.143,13.6545454545,3.05454545455
1979,22,Otis Birdsong,SG,23,KCK,82,0,34.6,9.0,17.8,0.509,0.0,0.0,0.0,9.0,17.8,0.509,0.509,3.6,5.0,0.725,2.1,2.2,4.3,3.4,1.5,0.2,2.4,3.1,21.7,2839,18.4,0.544,0.0,0.28,6.6,7.0,6.8,14.4,2.0,0.3,10.9,24.9,5.9,2.9,8.8,3.1,-0.4,2.7,3.3,1,0.148,14.675,4.025
1979,27,Alonzo Bradley,SF,25,HOU,34,0,7.2,1.1,2.6,0.42,0.0,0.0,0.0,1.1,2.6,0.42,0.42,0.6,1.0,0.667,0.4,1.0,1.4,0.5,0.1,0.0,0.5,1.0,2.8,245,9.3,0.468,0.0,0.375,5.9,14.4,10.2,8.8,0.9,0.2,14.2,19.2,0.0,0.1,0.1,-3.2,-2.2,-5.4,-0.2,1,0.024,7.46666666667,-0.0666666666667
1979,28,Mike Bratz,PG,23,PHO,77,0,16.8,3.1,6.9,0.454,0.0,0.0,0.0,3.1,6.9,0.454,0.454,1.8,2.2,0.818,0.7,1.1,1.8,2.3,0.8,0.1,1.8,2.0,8.1,1297,12.6,0.513,0.0,0.319,4.8,7.3,6.0,17.6,2.2,0.3,18.2,22.0,0.5,1.3,1.7,-1.6,-1.1,-2.7,-0.2,1,0.064,11.0,1.23333333333
1979,43,Kenny Carr,PF,23,LAL,72,0,16.0,3.1,6.3,0.5,0.0,0.0,0.0,3.1,6.3,0.5,0.5,1.2,1.9,0.606,1.0,3.1,4.1,0.8,0.5,0.4,1.6,2.1,7.4,1149,12.6,0.522,0.0,0.304,7.0,19.9,13.8,6.8,1.5,1.4,18.5,21.8,-0.4,1.5,1.1,-3.3,-0.7,-4.0,-0.6,1,0.046,13.99,3.35
1979,58,Wesley Cox,SF,24,GSW,31,0,11.6,1.7,4.0,0.431,0.0,0.0,0.0,1.7,4.0,0.431,0.431,1.3,3.0,0.435,0.6,1.5,2.0,0.4,0.4,0.2,1.4,2.2,4.7,360,5.3,0.447,0.0,0.748,5.3,13.5,9.4,4.0,1.7,0.8,21.2,23.3,-0.9,0.4,-0.5,-6.9,-1.3,-8.2,-0.6,1,-0.061,8.5,0.05
1979,59,Charlie Criss,PG,30,ATL,54,0,16.3,2.0,5.4,0.377,0.0,0.0,0.0,2.0,5.4,0.377,0.377,1.2,1.6,0.779,0.4,0.8,1.1,2.6,0.8,0.1,1.5,1.3,5.3,879,9.1,0.436,0.0,0.298,2.2,5.3,3.7,20.7,2.2,0.2,19.5,18.2,-0.5,0.7,0.1,-3.2,-1.5,-4.7,-0.6,1,0.008,11.7375,1.7125
1979,64,Brad Davis,PG,23,TOT,27,0,11.0,1.1,2.0,0.564,0.0,0.0,0.0,1.1,2.0,0.564,0.564,0.6,0.9,0.696,0.0,0.6,0.6,1.9,0.6,0.1,0.6,1.2,2.9,298,11.7,0.599,0.0,0.418,0.3,5.5,2.9,21.4,2.4,0.4,20.7,10.8,0.4,0.2,0.6,-1.9,-1.6,-3.5,-0.1,1,0.102,13.6733333333,3.56
