ID,Fleet,Status,Gross_Amount,Trip_Adjusted,Promo_Code,Discount_Applied,Existing_Passenger
340060,RideShare,Cancelled,10,No,,,
340059,Discount Cab,Meter Off,11,No,,0,Yes
340058,Discount Cab,Unable To Match,0,No,,,
340057,RideShare,Unable To Auth,0,No,,,
340056,Discount Cab,Meter Off,72,No,DC10,10,No
340055,Discount Cab,Meter Off,22,No,,0,Yes
340054,RideShare,Meter Off,0,Yes,,0,Yes
340053,RideShare,Meter Off,26,No,,0,Yes
340052,Discount Cab,Meter Off,20,No,,0,Yes
340051,Discount Cab,Meter Off,14,No,1405255,10,No
340050,Discount Cab,Unable To Match,0,No,,,
340049,Cab,Meter Off,0,No,2PBDAL20,9,No
340048,Discount Cab,Meter Off,9,No,DC10,10,No
340047,Discount Cab,Unable To Match,0,No,,,
340046,Discount Cab,Meter Off,39,No,DC10,10,No
340045,Discount Cab,Meter Off,12,No,,0,Yes
340044,Discount Cab,Meter Off,27,No,OLDTOWN20,20,No
340043,Discount Cab,Meter Off,24,No,,0,Yes
340042,Discount Cab,Cancelled,0,No,,,
340041,Discount Cab,Cancelled,10,No,,,
340040,Black,Meter Off,0,No,TGIF,10,No
340039,Discount Cab,Cancelled,0,No,,,
340038,RideShare,Meter Off,5,No,TTAPP25,2,No
340037,Discount Cab,Cancelled,0,No,,,
340036,RideShare,Meter Off,16,No,,0,Yes
340035,Discount Cab,Meter Off,9,No,,0,Yes
340034,RideShare,Cancelled,10,No,,,
340033,RideShare,Meter Off,15,No,,0,Yes
340032,Discount Cab,Cancelled,10,No,,,
340031,Discount Cab,Meter Off,11,No,,0,Yes
340030,RideShare,Meter Off,6,No,,0,Yes
340029,RideShare,Cancelled,10,No,,,
340028,RideShare,Meter Off,0,No,1008187,9,Yes
340027,RideShare,Meter Off,8,No,,0,Yes
340026,Discount Cab,Meter Off,37,No,,0,Yes
340025,Discount Cab,Unable To Auth,0,No,,,
340024,Discount Cab,Meter Off,12,No,,0,Yes
340023,Discount Cab,Unable To Auth,0,No,,,
340022,Discount Cab,Meter Off,0,No,57084,9,No
340021,Discount Cab,Meter Off,13,No,,0,Yes
340020,Discount Cab,Meter Off,33,No,,0,Yes
340019,Discount Cab,Unable To Auth,0,No,,,
340018,RideShare,Meter Off,0,No,HOLIDAY,9,No
340017,Discount Cab,Cancelled,0,No,,,
340016,RideShare,Meter Off,0,No,ASU1,10,No
340013,Discount Cab,Meter Off,12,No,HAPPY,3,Yes
340011,Discount Cab,Unable To Auth,0,No,,,
340010,Discount Cab,Meter Off,22,No,,0,Yes
340009,Discount Cab,Meter Off,32,No,1501030,10,No
340008,Discount Cab,Meter Off,18,No,,0,Yes
340007,RideShare,Meter Off,10,No,,0,Yes
340006,Discount Cab,Meter Off,13,No,,0,Yes
340005,Discount Cab,Meter Off,9,No,,0,Yes
340004,RideShare,Meter Off,30,No,,0,Yes
340003,RideShare,Unable To Match,0,No,,,
340002,RideShare,Meter Off,21,No,1202129,10,No
340001,Cab,Meter Off,0,No,TRY2PB,7,Yes
340000,Discount Cab,Meter Off,15,No,,0,Yes
