company;total_funding
saucony;0.0
head logic;0.0
dac technologies group international;0.0
falcon plastics;0.0
meridian international;1975000.0
colgate-palmolive;0.0
dsm ip assets;0.0
cvg managment;0.0
sealy technology;0.0
mtn products;0.0
be aerospace;0.0
magellan group;0.0
sunbeam products;9329636.0
breville;0.0
brookstone purchasing;125612000.0
ets express;0.0
ignite usa;0.0
spectrum diversified designs;0.0
q bonding + branding + strategy global;0.0
ibt holdings;0.0
honda motor;0.0
jab distributors;0.0
anchor packaging;0.0
revlon consumer products;0.0
kind group;0.0
clorox;0.0
cilag international;0.0
luminous star technology;16000000.0
cartier creation studio;0.0
gm global technology operations;0.0
dr ing hc f porsche;0.0
toyota jidosha kabushiki kaisha;0.0
ford motor;0.0
bridgestone americas tire operations;0.0
bridgestone bandag;0.0
audiovox;0.0
panasonic electric works;0.0
phoenix contact &;0.0
fci americas technology;0.0
abb technology;2700000.0
hitachi kokusai electric;0.0
tivo;0.0
international business machines;0.0
jvc kenwood;0.0
nokia;0.0
motorola mobility;0.0
sennheiser electronic &;0.0
clearone communications;0.0
apple;0.0
cisco technology;2500000.0
seagate technology;0.0
ipevo;0.0
optionmonster holdings;0.0
management insight;0.0
htc;0.0
mindray ds usa;0.0
microsoft;0.0
nice;64000000.0
sony;0.0
ra vision gear;18933082.0
team international music;0.0
adobe systems;0.0
dynamics;110700000.0
pentel kabushiki kaisha;0.0
taylor brands;0.0
sdi;0.0
chrome cherry trust;0.0
lego;0.0
eaton;2400000.0
kubota;0.0
globe union industrial;0.0
smc;0.0
kohler;0.0
exhale fans;0.0
resmed;0.0
sanofi-aventis deutschland;0.0
fujifilm;0.0
3form;0.0
osram sylvania;0.0
lg innotek;0.0
robert mcbride;0.0
vornado air;0.0
international refills;0.0
mitsubishi heavy industries;0.0
fender musical instruments;0.0
yamaha;0.0
panasonic;0.0
smart technologies;0.0
datalogic scanning;0.0
illumina;0.0
millennium pharmaceuticals;70000.0
alcatel lucent;0.0
lg electronics;0.0
toto;0.0
dell products;0.0
electrolux;0.0
alfred kaercher &;2000000.0
diversey;0.0
black & decker;0.0
robert bosch;0.0
atomic energy council-institute of nuclear energy research;0.0
renault;0.0
airbus france;0.0
denso;0.0
yamaha hatsudoki kabushiki kaisha;0.0
infineon technologies;0.0
fujikura;0.0
abbott diabetes care;6790000.0
ge intelligent platforms embedded systems;0.0
tektronix;0.0
canon kabushiki kaisha;0.0
xpress holding;0.0
halliburton energy services;0.0
jet crown international;220000000.0
trimble navigation;0.0
freescale semiconductor;0.0
opcon international holdings;0.0
lifetime products;0.0
toyota motor engineering & manufacturing north america tema;0.0
king abdulaziz university;43000000.0
hitachi;0.0
lrm industries international;0.0
express scripts;0.0
kraft foods global brands;0.0
playtex products;0.0
corning;0.0
daimler;0.0
cummins;0.0
cummins ip;0.0
mitsubishi fuso truck and bus;0.0
johnson matthey public;0.0
cummins filtration ip;0.0
clark equipment;0.0
ford global technologies;0.0
siemens;8900000.0
siemens energy;8900000.0
air products and chemicals;0.0
trane international;0.0
cargill;0.0
lock;0.0
aurora office equipment;0.0
crown packaging technology;0.0
delphi technologies;8000000.0
hitachi automotive systems;0.0
hitachi zosen;0.0
apm automation solutions;0.0
seiko epson;0.0
smart structures;0.0
sentec;800000.0
honeywell international;11400000.0
magna powertrain &;0.0
sandvik intellectual property aktiebolag;0.0
surefire;0.0
raytheon;3000000.0
prince castle;0.0
prime solution;0.0
ricoh;0.0
schlumberger technology;0.0
rafael advanced defense systems;0.0
disney enterprises;0.0
pirelli & c ambiente renewable energy;0.0
becker marine systems &;0.0
xerox;1100000000.0
electrolux professionals;0.0
covidien;0.0
v-wave;2000000.0
loreal;0.0
chanel parfums beaute;0.0
novartis;0.0
pa;0.0
fluid routing solutions;24000000.0
toshiba kikai kabushiki kaisha;0.0
krones;0.0
michelin recherche et technique;0.0
bridgestone;0.0
soitec silicon on insulator technologies;0.0
boeing;0.0
hitachi cable;0.0
entegris;0.0
hyundai motor;0.0
scania cv publ;0.0
