,team,player,season,season_end
0,1st Team,Kevin Durant,2013-2014,2014
1,1st Team,LeBron James,2013-2014,2014
2,1st Team,Joakim Noah,2013-2014,2014
3,1st Team,James Harden,2013-2014,2014
4,1st Team,Chris Paul,2013-2014,2014
5,2nd Team,Blake Griffin,2013-2014,2014
6,2nd Team,Kevin Love,2013-2014,2014
7,2nd Team,Dwight Howard,2013-2014,2014
8,2nd Team,Stephen Curry,2013-2014,2014
9,2nd Team,Tony Parker,2013-2014,2014
10,3rd Team,LaMarcus Aldridge,2013-2014,2014
11,3rd Team,Paul George,2013-2014,2014
12,3rd Team,Al Jefferson,2013-2014,2014
13,3rd Team,Goran Dragic,2013-2014,2014
14,3rd Team,Damian Lillard,2013-2014,2014
15,1st Team,Kevin Durant,2012-2013,2013
16,1st Team,LeBron James,2012-2013,2013
17,1st Team,Tim Duncan,2012-2013,2013
18,1st Team,Kobe Bryant,2012-2013,2013
19,1st Team,Chris Paul,2012-2013,2013
20,2nd Team,Carmelo Anthony,2012-2013,2013
21,2nd Team,Blake Griffin,2012-2013,2013
22,2nd Team,Marc Gasol,2012-2013,2013
23,2nd Team,Tony Parker,2012-2013,2013
24,2nd Team,Russell Westbrook,2012-2013,2013
25,3rd Team,Paul George,2012-2013,2013
26,3rd Team,David Lee,2012-2013,2013
27,3rd Team,Dwight Howard,2012-2013,2013
28,3rd Team,James Harden,2012-2013,2013
29,3rd Team,Dwyane Wade,2012-2013,2013
30,1st Team,Kevin Durant,2011-2012,2012
31,1st Team,LeBron James,2011-2012,2012
32,1st Team,Dwight Howard,2011-2012,2012
33,1st Team,Kobe Bryant,2011-2012,2012
34,1st Team,Chris Paul,2011-2012,2012
35,2nd Team,Blake Griffin,2011-2012,2012
36,2nd Team,Kevin Love,2011-2012,2012
37,2nd Team,Andrew Bynum,2011-2012,2012
38,2nd Team,Tony Parker,2011-2012,2012
39,2nd Team,Russell Westbrook,2011-2012,2012
40,3rd Team,Carmelo Anthony,2011-2012,2012
41,3rd Team,Dirk Nowitzki,2011-2012,2012
42,3rd Team,Tyson Chandler,2011-2012,2012
43,3rd Team,Rajon Rondo,2011-2012,2012
44,3rd Team,Dwyane Wade,2011-2012,2012
45,1st Team,Kevin Durant,2010-2011,2011
46,1st Team,LeBron James,2010-2011,2011
47,1st Team,Dwight Howard,2010-2011,2011
48,1st Team,Kobe Bryant,2010-2011,2011
49,1st Team,Derrick Rose,2010-2011,2011
50,2nd Team,Pau Gasol,2010-2011,2011
51,2nd Team,Dirk Nowitzki,2010-2011,2011
52,2nd Team,Amar'e Stoudemire,2010-2011,2011
53,2nd Team,Dwyane Wade,2010-2011,2011
54,2nd Team,Russell Westbrook,2010-2011,2011
55,3rd Team,LaMarcus Aldridge,2010-2011,2011
56,3rd Team,Zach Randolph,2010-2011,2011
57,3rd Team,Al Horford,2010-2011,2011
58,3rd Team,Manu Ginobili,2010-2011,2011
59,3rd Team,Chris Paul,2010-2011,2011
60,1st Team,Kevin Durant,2009-2010,2010
61,1st Team,LeBron James,2009-2010,2010
62,1st Team,Dwight Howard,2009-2010,2010
63,1st Team,Kobe Bryant,2009-2010,2010
64,1st Team,Dwyane Wade,2009-2010,2010
65,2nd Team,Carmelo Anthony,2009-2010,2010
66,2nd Team,Dirk Nowitzki,2009-2010,2010
67,2nd Team,Amar'e Stoudemire,2009-2010,2010
68,2nd Team,Steve Nash,2009-2010,2010
69,2nd Team,Deron Williams,2009-2010,2010
70,3rd Team,Tim Duncan,2009-2010,2010
71,3rd Team,Pau Gasol,2009-2010,2010
72,3rd Team,Andrew Bogut,2009-2010,2010
73,3rd Team,Joe Johnson,2009-2010,2010
74,3rd Team,Brandon Roy,2009-2010,2010
75,1st Team,LeBron James,2008-2009,2009
76,1st Team,Dirk Nowitzki,2008-2009,2009
77,1st Team,Dwight Howard,2008-2009,2009
78,1st Team,Kobe Bryant,2008-2009,2009
79,1st Team,Dwyane Wade,2008-2009,2009
80,2nd Team,Tim Duncan,2008-2009,2009
81,2nd Team,Paul Pierce,2008-2009,2009
82,2nd Team,Yao Ming,2008-2009,2009
83,2nd Team,Chris Paul,2008-2009,2009
84,2nd Team,Brandon Roy,2008-2009,2009
85,3rd Team,Carmelo Anthony,2008-2009,2009
86,3rd Team,Pau Gasol,2008-2009,2009
87,3rd Team,Shaquille O'Neal,2008-2009,2009
88,3rd Team,Chauncey Billups,2008-2009,2009
89,3rd Team,Tony Parker,2008-2009,2009
90,1st Team,Kevin Garnett,2007-2008,2008
91,1st Team,LeBron James,2007-2008,2008
92,1st Team,Dwight Howard,2007-2008,2008
93,1st Team,Kobe Bryant,2007-2008,2008
94,1st Team,Chris Paul,2007-2008,2008
95,2nd Team,Tim Duncan,2007-2008,2008
96,2nd Team,Dirk Nowitzki,2007-2008,2008
97,2nd Team,Amar'e Stoudemire,2007-2008,2008
98,2nd Team,Steve Nash,2007-2008,2008
99,2nd Team,Deron Williams,2007-2008,2008
100,3rd Team,Carlos Boozer,2007-2008,2008
101,3rd Team,Paul Pierce,2007-2008,2008
102,3rd Team,Yao Ming,2007-2008,2008
103,3rd Team,Manu Ginobili,2007-2008,2008
104,3rd Team,Tracy McGrady,2007-2008,2008
105,1st Team,Tim Duncan,2006-2007,2007
106,1st Team,Dirk Nowitzki,2006-2007,2007
107,1st Team,Amar'e Stoudemire,2006-2007,2007
108,1st Team,Kobe Bryant,2006-2007,2007
109,1st Team,Steve Nash,2006-2007,2007
110,2nd Team,Chris Bosh,2006-2007,2007
111,2nd Team,LeBron James,2006-2007,2007
112,2nd Team,Yao Ming,2006-2007,2007
113,2nd Team,Gilbert Arenas,2006-2007,2007
114,2nd Team,Tracy McGrady,2006-2007,2007
115,3rd Team,Carmelo Anthony,2006-2007,2007
116,3rd Team,Kevin Garnett,2006-2007,2007
117,3rd Team,Dwight Howard,2006-2007,2007
118,3rd Team,Chauncey Billups,2006-2007,2007
119,3rd Team,Dwyane Wade,2006-2007,2007
120,1st Team,LeBron James,2005-2006,2006
121,1st Team,Dirk Nowitzki,2005-2006,2006
122,1st Team,Shaquille O'Neal,2005-2006,2006
123,1st Team,Kobe Bryant,2005-2006,2006
124,1st Team,Steve Nash,2005-2006,2006
125,2nd Team,Elton Brand,2005-2006,2006
126,2nd Team,Tim Duncan,2005-2006,2006
127,2nd Team,Ben Wallace,2005-2006,2006
128,2nd Team,Chauncey Billups,2005-2006,2006
129,2nd Team,Dwyane Wade,2005-2006,2006
130,3rd Team,Carmelo Anthony,2005-2006,2006
131,3rd Team,Shawn Marion,2005-2006,2006
132,3rd Team,Yao Ming,2005-2006,2006
133,3rd Team,Gilbert Arenas,2005-2006,2006
134,3rd Team,Allen Iverson,2005-2006,2006
135,1st Team,Tim Duncan,2004-2005,2005
